Iter  Part  GoF  Model_Output  
27  2   1.4990659E-02   1.4990659E-02  
28  1   5.7775189E-03   5.7775189E-03  
28  2   6.0677940E-03   6.0677940E-03  
29  1   2.9953038E-03   2.9953038E-03  
29  2   2.4882081E-03   2.4882081E-03  
30  1   1.4119157E-02   1.4119157E-02  
30  2   6.0144218E-03   6.0144218E-03  
31  1   2.9774759E-03   2.9774759E-03  
31  2   1.5073231E-02   1.5073231E-02  
32  1   1.4196700E-02   1.4196700E-02  
32  2   5.9160805E-03   5.9160805E-03  
33  1   1.4195438E-02   1.4195438E-02  
33  2   6.0903166E-03   6.0903166E-03  
34  1   3.0423005E-03   3.0423005E-03  
34  2   1.4961514E-02   1.4961514E-02  
35  1   2.9821240E-03   2.9821240E-03  
35  2   2.5045513E-03   2.5045513E-03  
36  1   1.4117423E-02   1.4117423E-02  
36  2   5.9736590E-03   5.9736590E-03  
37  1   2.3445186E-03   2.3445186E-03  
37  2   5.8733716E-03   5.8733716E-03  
38  1   4.3051333E-03   4.3051333E-03  
38  2   2.4906341E-03   2.4906341E-03  
39  1   5.7463063E-03   5.7463063E-03  
39  2   5.5904947E-03   5.5904947E-03  
40  1   5.7630488E-03   5.7630488E-03  
40  2   1.5042196E-02   1.5042196E-02  
41  1   2.8988967E-03   2.8988967E-03  
41  2   5.4897126E-03   5.4897126E-03  
42  1   2.8971275E-03   2.8971275E-03  
42  2   5.9364500E-03   5.9364500E-03  
43  1   2.4017316E-03   2.4017316E-03  
43  2   1.5065258E-02   1.5065258E-02  
44  1   3.4664254E-03   3.4664254E-03  
44  2   6.0146370E-03   6.0146370E-03  
45  1   3.7137210E-03   3.7137210E-03  
45  2   2.4905865E-03   2.4905865E-03  
46  1   1.4118070E-02   1.4118070E-02  
46  2   2.4838068E-03   2.4838068E-03  
47  1   5.7432377E-03   5.7432377E-03  
47  2   5.8423330E-03   5.8423330E-03  
48  1   5.7614993E-03   5.7614993E-03  
48  2   6.7498994E-03   6.7498994E-03  
49  1   1.9493600E-03   1.9493600E-03  
49  2   2.5112255E-03   2.5112255E-03  
50  1   1.4115613E-02   1.4115613E-02  
50  2   1.4998120E-02   1.4998120E-02  
51  1   1.3919040E-03   1.3919040E-03  
51  2   2.4870857E-03   2.4870857E-03  
52  1   5.7615869E-03   5.7615869E-03  
52  2   6.1030524E-03   6.1030524E-03  
53  1   1.2328584E-02   1.2328584E-02  
53  2   2.4884674E-03   2.4884674E-03  
54  1   1.4082557E-02   1.4082557E-02  
54  2   1.5079197E-02   1.5079197E-02  
55  1   1.3322891E-03   1.3322891E-03  
55  2   6.5614049E-03   6.5614049E-03  
56  1   2.7227620E-03   2.7227620E-03  
56  2   2.4829482E-03   2.4829482E-03  
57  1   2.4031145E-03   2.4031145E-03  
57  2   2.4829152E-03   2.4829152E-03  
58  1   2.5387739E-03   2.5387739E-03  
58  2   2.5013526E-03   2.5013526E-03  
59  1   2.7367079E-03   2.7367079E-03  
59  2   2.5270713E-03   2.5270713E-03  
60  1   2.7340510E-03   2.7340510E-03  
60  2   2.5960409E-03   2.5960409E-03  
61  1   2.6106698E-03   2.6106698E-03  
61  2   3.9491237E-03   3.9491237E-03  
62  1   2.9136550E-03   2.9136550E-03  
62  2   5.6751679E-03   5.6751679E-03  
63  1   1.4117259E-02   1.4117259E-02  
63  2   5.7301171E-03   5.7301171E-03  
64  1   1.0144268E-02   1.0144268E-02  
64  2   6.0386411E-03   6.0386411E-03  
65  1   1.6664540E-03   1.6664540E-03  
65  2   1.5113968E-02   1.5113968E-02  
66  1   4.3093340E-03   4.3093340E-03  
66  2   2.4964572E-03   2.4964572E-03  
67  1   1.9365497E-03   1.9365497E-03  
67  2   1.5038693E-02   1.5038693E-02  
68  1   5.2304843E-03   5.2304843E-03  
68  2   5.8369638E-03   5.8369638E-03  
69  1   1.5656822E-03   1.5656822E-03  
69  2   1.4985923E-02   1.4985923E-02  
70  1   1.8781336E-03   1.8781336E-03  
70  2   2.4974205E-03   2.4974205E-03  
71  1   1.7251612E-03   1.7251612E-03  
71  2   5.8734581E-03   5.8734581E-03  
72  1   1.9274615E-03   1.9274615E-03  
72  2   2.4853497E-03   2.4853497E-03  
73  1   2.6798272E-03   2.6798272E-03  
73  2   6.4370432E-03   6.4370432E-03  
74  1   7.7719517E-03   7.7719517E-03  
74  2   6.2438179E-03   6.2438179E-03  
75  1   1.6681874E-03   1.6681874E-03  
75  2   5.5957174E-03   5.5957174E-03  
76  1   2.0875519E-03   2.0875519E-03  
76  2   1.5095396E-02   1.5095396E-02  
77  1   2.6744386E-03   2.6744386E-03  
77  2   6.1808293E-03   6.1808293E-03  
78  1   3.7706075E-03   3.7706075E-03  
78  2   2.4759938E-03   2.4759938E-03  
79  1   3.4266836E-03   3.4266836E-03  
79  2   1.5105642E-02   1.5105642E-02  
80  1   3.1355640E-03   3.1355640E-03  
80  2   5.5621386E-03   5.5621386E-03  
81  1   5.1018025E-03   5.1018025E-03  
81  2   2.5112179E-03   2.5112179E-03  
82  1   7.2875268E-03   7.2875268E-03  
82  2   5.8962171E-03   5.8962171E-03  
83  1   8.8220514E-03   8.8220514E-03  
83  2   1.4982526E-02   1.4982526E-02  
84  1   3.6729846E-03   3.6729846E-03  
84  2   1.4946079E-02   1.4946079E-02  
85  1   1.3212705E-03   1.3212705E-03  
85  2   2.5517959E-03   2.5517959E-03  
86  1   1.6064272E-03   1.6064272E-03  
86  2   2.6387411E-03   2.6387411E-03  
87  1   2.0402024E-03   2.0402024E-03  
87  2   5.8655053E-03   5.8655053E-03  
88  1   2.6673433E-03   2.6673433E-03  
88  2   5.8113889E-03   5.8113889E-03  
89  1   3.8503069E-03   3.8503069E-03  
89  2   1.5105596E-02   1.5105596E-02  
90  1   3.6654469E-03   3.6654469E-03  
90  2   5.9909893E-03   5.9909893E-03  
91  1   1.4434262E-03   1.4434262E-03  
91  2   5.4014107E-03   5.4014107E-03  
92  1   9.9822411E-04   9.9822411E-04  
92  2   5.8990848E-03   5.8990848E-03  
93  1   4.9340071E-03   4.9340071E-03  
93  2   5.5534796E-03   5.5534796E-03  
94  1   2.0227647E-03   2.0227647E-03  
94  2   1.4974650E-02   1.4974650E-02  
95  1   1.9427631E-03   1.9427631E-03  
95  2   5.8625985E-03   5.8625985E-03  
96  1   1.0955509E-03   1.0955509E-03  
96  2   5.5734291E-03   5.5734291E-03  
97  1   1.5349497E-03   1.5349497E-03  
97  2   1.5103226E-02   1.5103226E-02  
98  1   1.5958584E-03   1.5958584E-03  
98  2   5.6470566E-03   5.6470566E-03  
99  1   7.1014202E-04   7.1014202E-04  
99  2   5.9703816E-03   5.9703816E-03  
100  1   7.6081174E-04   7.6081174E-04  
100  2   5.1517619E-03   5.1517619E-03  
101  1   8.3539864E-04   8.3539864E-04  
101  2   4.9721221E-03   4.9721221E-03  
102  1   9.4457110E-04   9.4457110E-04  
102  2   2.5121745E-03   2.5121745E-03  
103  1   2.2315706E-03   2.2315706E-03  
103  2   2.5225487E-03   2.5225487E-03  
104  1   9.1102482E-04   9.1102482E-04  
104  2   1.4774251E-02   1.4774251E-02  
105  1   8.2289078E-04   8.2289078E-04  
105  2   1.4625851E-02   1.4625851E-02  
106  1   7.1487011E-04   7.1487011E-04  
106  2   2.7443851E-03   2.7443851E-03  
107  1   7.3487703E-04   7.3487703E-04  
107  2   5.8437655E-03   5.8437655E-03  
108  1   7.3149925E-04   7.3149925E-04  
108  2   1.5026775E-02   1.5026775E-02  
109  1   8.1918651E-04   8.1918651E-04  
109  2   5.9923297E-03   5.9923297E-03  
110  1   8.4124473E-04   8.4124473E-04  
110  2   1.5090609E-02   1.5090609E-02  
111  1   7.6735103E-04   7.6735103E-04  
111  2   5.6019778E-03   5.6019778E-03  
112  1   7.4542675E-04   7.4542675E-04  
112  2   2.5042022E-03   2.5042022E-03  
113  1   7.3585587E-04   7.3585587E-04  
113  2   5.4890166E-03   5.4890166E-03  
114  1   7.1382636E-04   7.1382636E-04  
114  2   1.4960256E-02   1.4960256E-02  
115  1   7.0035921E-04   7.0035921E-04  
115  2   2.5716403E-03   2.5716403E-03  
116  1   7.0387357E-04   7.0387357E-04  
116  2   5.6991857E-03   5.6991857E-03  
117  1   7.1167661E-04   7.1167661E-04  
117  2   2.6228164E-03   2.6228164E-03  
118  1   7.5446005E-04   7.5446005E-04  
118  2   2.5240947E-03   2.5240947E-03  
119  1   7.4191863E-04   7.4191863E-04  
119  2   5.4014529E-03   5.4014529E-03  
120  1   7.1798462E-04   7.1798462E-04  
120  2   1.4992570E-02   1.4992570E-02  
121  1   7.1634432E-04   7.1634432E-04  
121  2   6.1703694E-03   6.1703694E-03  
122  1   7.0904762E-04   7.0904762E-04  
122  2   6.5440857E-03   6.5440857E-03  
123  1   7.1043988E-04   7.1043988E-04  
123  2   2.4951155E-03   2.4951155E-03  
124  1   7.0434206E-04   7.0434206E-04  
124  2   1.5082054E-02   1.5082054E-02  
125  1   7.0932379E-04   7.0932379E-04  
125  2   2.4945656E-03   2.4945656E-03  
126  1   7.1009753E-04   7.1009753E-04  
126  2   4.5162022E-03   4.5162022E-03  
127  1   7.1333399E-04   7.1333399E-04  
127  2   1.4734382E-02   1.4734382E-02  
128  1   7.1929630E-04   7.1929630E-04  
128  2   3.6196864E-03   3.6196864E-03  
129  1   7.2183435E-04   7.2183435E-04  
129  2   2.5497349E-03   2.5497349E-03  
130  1   7.1243225E-04   7.1243225E-04  
130  2   5.8631569E-03   5.8631569E-03  
131  1   7.0322108E-04   7.0322108E-04  
131  2   2.4992718E-03   2.4992718E-03  
132  1   6.9974558E-04   6.9974558E-04  
132  2   6.0206118E-03   6.0206118E-03  
133  1   7.0054750E-04   7.0054750E-04  
133  2   6.2755183E-03   6.2755183E-03  
134  1   7.0148690E-04   7.0148690E-04  
134  2   2.4811719E-03   2.4811719E-03  
135  1   7.0087926E-04   7.0087926E-04  
135  2   5.9646479E-03   5.9646479E-03  
136  1   7.0098379E-04   7.0098379E-04  
136  2   2.5269255E-03   2.5269255E-03  
137  1   7.0081621E-04   7.0081621E-04  
137  2   2.5186774E-03   2.5186774E-03  
138  1   7.0023721E-04   7.0023721E-04  
138  2   2.5457976E-03   2.5457976E-03  
139  1   7.0000409E-04   7.0000409E-04  
139  2   1.5005242E-02   1.5005242E-02  
140  1   6.9963121E-04   6.9963121E-04  
140  2   5.3593688E-03   5.3593688E-03  
141  1   6.9954645E-04   6.9954645E-04  
141  2   3.4187331E-03   3.4187331E-03  
142  1   6.9970537E-04   6.9970537E-04  
142  2   5.7087808E-03   5.7087808E-03  
143  1   6.9956588E-04   6.9956588E-04  
143  2   1.4998926E-02   1.4998926E-02  
144  1   6.9959557E-04   6.9959557E-04  
144  2   6.7019090E-03   6.7019090E-03  
145  1   6.9968237E-04   6.9968237E-04  
145  2   6.0427667E-03   6.0427667E-03  
146  1   6.9963182E-04   6.9963182E-04  
146  2   6.8276995E-03   6.8276995E-03  
147  1   6.9964008E-04   6.9964008E-04  
147  2   5.6503855E-03   5.6503855E-03  
